no_id;judul;author;penerbit;isBestSeller;original_rating;adjusted_rating;rating_count;review_count;genre;Unnamed: 10
1;Game of Hearts 10;Silvarani;Gramedia Pustaka Utama;1.0;3.0;3.0;34.0;14.0;fiksi_sastra;
2;My Nerd Girl;Aidah Harisah;Gramedia Widiasarana Indonesia;0.0;3.39;3.0;28.0;3.0;novel;
3;Harlequin Koleksi Istimewa: Dalam Dekapan Sang Pangeran (Protected by The Prince);Annie West;Gramedia Pustaka Utama;1.0;3.46;3.0;240.0;40.0;romance;
4;Harlequin Koleksi Istimewa: Sang Perencana Pernikahan (The Best Man and The Wedding Planner);Teresa Carpenter;Gramedia Pustaka Utama;0.0;3.7;4.0;33.0;10.0;novel;
6;Harlequin: Tiga Keajaiban (Three Christmas Wishes);Sheila Roberts;Gramedia Pustaka Utama;1.0;4.04;4.0;1420.0;194.0;romance;
7;Harlequin: Terperangkap (Close Contact);Lori Foster;Gramedia Pustaka Utama;1.0;4.13;4.0;2433.0;382.0;romance;
8;Historical Romance: To Seduce a Sinner (Rayuan yang Menawan);Elizabeth Hoyt;Gramedia Pustaka Utama;1.0;3.88;4.0;10737.0;769.0;romance;
9;Sekali Peristiwa Di Banten Selatan;Pramoedya Ananta Toer;Lentera Dipantara;1.0;3.72;4.0;779.0;;fiksi_sastra;
10;Larasati;Pramoedya Ananta Toer;Lentera Dipantara;1.0;3.7;4.0;1684.0;;fiksi_sastra;
11;Di Balik Tirai Aroma Karsa;Dewi Lestari;Bentang Pustaka;1.0;4.4;4.0;111.0;28.0;novel;
12;Sepotong Senja untuk Pacarku;Seno Gumira Ajidarma;Gramedia Pustaka Utama;0.0;3.98;4.0;2253.0;;cerpen;
14;Pembunuhan di Malam Natal (Hercule Poirot's Christmas);Agatha Christie;Gramedia Pustaka Utama;0.0;3.98;4.0;62374.0;;novel;
15;Kepada Cium;Joko Pinurbo;Gramedia Pustaka Utama;1.0;3.64;4.0;217.0;;puisi;
16;Lelaki Harimau;Eka Kurniawan;Gramedia Pustaka Utama;0.0;4.05;4.0;5682.0;;fiksi_sastra;
17;And Then There Were None (Lalu Semuanya Lenyap);Agatha Christie;Gramedia Pustaka Utama;0.0;4.28;4.0;1135701.0;;novel;
18;Gadis Kretek (cover baru 2019);Ratih Kumala;Gramedia Pustaka Utama;1.0;4.1;4.0;2548.0;571.0;novel;
19;The Selection: Series #1;Kiera Cass;Mizan Media Utama;1.0;4.1;4.0;1318350.0;;fiksi_sastra;
21;Claires;Valerie Patkar;Bhuana Ilmu Populer;1.0;4.15;4.0;795.0;104.0;novel;
22;Caraval #2: Legendary;Stephanie Garber;Noura Books Publishing;0.0;4.22;4.0;129539.0;16369.0;fiksi_ilmiah;
23;Sometimes I Lie;Alice Feeney;NOURA BOOKS PUBLISHING;1.0;3.81;4.0;145997.0;;novel;
